,Model,Average Inference Time
0,pretrained Llama,22.474837438480233
1,pretrained Mistral,13.529110728027025
2,Llama QLORA,41.73521605108109
3,Mistral QLORA,43.94285963054054
4,Llama RAFT,41.747693133513515
5,Mistral RAFT,37.27075166297297
6,Llama_RAG_CRC,16.84827949549697
7,mistral_RAG_CRC,12.751128634890975
8,llama_RAG_RR,24.777358957239052
9,mistral_RAG_RR,16.32866289808939
10,Llama QLORA RAG CRC GPT,32.99792925087178
11,Mistral QLORA RAG CRC GPT,34.68546876391845
12,Llama RAFT RAG CRC,30.69927442396005
13,Mistral RAFT RAG CRC GPT,31.546141978856642
14,Mistral_RLHF,36.283537638864864
