,Model,Average Inference Time
0,pretrained Llama,0.05300405753135162
1,pretrained Mistral,0.04707275368528647
2,Llama QLORA,0.3651993670379502
3,Mistral QLORA,0.7127822659282489
4,Llama RAFT,0.25044778562051356
5,Mistral RAFT,0.10482339618323605
6,Llama_RAG_CRC,0.07570971250624701
7,mistral_RAG_CRC,0.0811005878541525
8,llama_RAG_RR,0.08070624109068322
9,mistral_RAG_RR,0.06951439761098101
10,Llama QLORA RAG CRC GPT,0.32627587915418577
11,Mistral QLORA RAG CRC GPT,0.5320729130905834
12,Llama RAFT RAG CRC,0.16139443750349675
13,Mistral RAFT RAG CRC GPT,0.14444315702551205
14,Mistral_RLHF,0.1049013404326742
